,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
27,"El radiodifusor dio varias declaraciones respecto a las votaciones y la radio

¿Qué dijo? ⤵️
https://t.co/mnLQKZpZ4r",16,1,0,0,17,10
28,"@OEA_oficial YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
29,"Esta tarde junto a Daniel Arteaga, hablaremos sobre la Gestión de Riesgos en Ecuador, las necesidades urgentes y la importancia de la designación de un Secretario de Riesgos dentro del gabinete de Guillermo Lasso. https://t.co/c2mpFinWZe",35,0,0,0,0,0
30,"@Almagro_OEA2015 YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
31,@Osmelmartinez9 @JuanManuelEraz4 @marioherzam Ecuador progresa con Guillermo Lasso¡¡,8,0,0,3,0,0
32,"@PKnacional18 Pregúntale a guillermo lasso q profesas d ser transparente, vas a denunciar ante la ley a los genocidas Lerdin moreno, maria paula romo, oswaldo jarrin, etc por el desastre como dejan el país y todo esta en el informe del defensor del pueblo y d Derechos Humanos en Ecuador.",50,0,0,1,0,0
33,👉 ¿Sabes qué es el índice de coherencia y respaldo institucional? ¡Entérate! en: https://t.co/5ta2D1JTHm https://t.co/ebx64hZ0wH,15,1,0,0,1,0
34,"@PKnacional18 YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
35,"#ECUADOR 🇪🇨 VS #PERÚ ⚽ Última hora, desde el estadio #CasaBlanca con el periodista deportivo @JuanLeoReyes1 y las declaraciones del Presidente Guillermo #Lasso #PrimeroLaTri 📽️⬇️🇪🇨 Auspicia 🍕🍷https://t.co/GJHaGVajld 🍝🍷
https://t.co/CqKLqlWQMp",29,2,5,1,4,3
36,"📰#Nacionales | Entre otros temas que se trataron en la reunión entre el presidente Guillermo Lasso y los dirigentes de los transportistas estuvo la reactivación postcovid de este sector. Los detalles⬇
https://t.co/Uw0XDXwwcJ",32,1,1,0,1,1
37,"@ABorreroVega 1A. Todavía estoy esperando q este guillermo lasso d un resumen d como encontró el gobierno d las manos d Lerdin El Cuentico, q también mencione q los mas millonarios d Ecuador arrimen el hombro pagando sus impuestos justos y no evadirlos y cobrar impuestos a salidas d divisas a",51,0,0,1,0,0
38,"@ABorreroVega Pregúntale a guillermo lasso q profesas d ser transparente, vas a denunciar ante la ley a los genocidas Lerdin moreno, maria paula romo, oswaldo jarrin, etc por el desastre como dejan el país y todo esta en el informe del defensor del pueblo y d Derechos Humanos en Ecuador.",50,0,0,1,0,0
