,Horas,No_Vacunacion
481,2923,997
482,2926,999
483,2930,1001
484,2932,1004
485,2934,1003
486,2936,1002
487,2946,1009
488,2953,1011
489,2958,1012
490,2962,1014
491,2964,1016
492,2970,1019
493,2977,1021
494,2977,1022
495,2989,1024
496,2995,1026
497,3001,1027
498,3005,1029
499,3014,1030
500,3014,1032
501,3017,1033
502,3022,1035
503,3024,1036
504,3026,1037
505,3026,1039
506,3032,1041
507,3036,1040
508,3038,1042
509,3042,1047
510,3047,1048
511,3052,1049
512,3058,1051
513,3062,1052
514,3096,1060
515,3100,1061
516,3109,1064
517,3114,1065
518,3119,1067
519,3123,1069
520,3128,1070
521,3133,1071
522,3148,1073
523,3151,1075
524,3154,1076
525,3162,1077
526,3165,1078
527,3169,1079
528,3171,1081
529,3172,1080
530,3177,1083
531,3209,1092
532,3210,1093
533,3213,1095
534,3228,1097
535,3230,1098
536,3234,1100
537,3241,1101
538,3250,1106
539,3255,1107
540,3260,1108
541,3265,1109
542,3270,1111
543,3272,1113
544,3275,1115
545,3278,1114
546,3282,1116
547,3283,1118
548,3294,1123
549,3295,1124
550,3304,1128
551,3308,1129
552,3318,1130
553,3340,1135
554,3346,1136
555,3354,1138
556,3357,1139
557,3377,1145
558,3380,1146
559,3385,1148
560,3394,1152
561,3398,1155
562,3406,1157
563,3411,1160
564,3427,1162
565,3427,1164
566,3430,1167
567,3438,1168
568,3446,1171
569,3448,1170
570,3456,1172
571,3464,1175
572,3473,1178
573,3473,1179
574,3478,1181
575,3478,1182
576,3489,1183
577,3490,1184
578,3491,1186
579,3492,1185
580,3499,1187
581,3499,1188
582,3500,1189
583,3518,1197
584,3518,1199
585,3523,1201
586,3525,1200
587,3528,1202
588,3532,1204
589,3533,1203
590,3536,1207
591,3541,1209
592,3542,1211
593,3544,1212
594,3546,1214
595,3567,1219
596,3570,1223
597,3576,1224
598,3596,1228
599,3598,1230
600,3603,1232
601,3612,1233
602,3614,1234
603,3619,1236
604,3626,1238
605,3630,1240
606,3641,1243
607,3641,1244
608,3646,1247
609,3653,1248
610,3653,1249
611,3668,1253
612,3670,1254
613,3678,1256
614,3687,1257
615,3690,1258
616,3691,1259
617,3697,1261
618,3703,1262
619,3703,1263
620,3712,1265
621,3714,1266
622,3719,1269
623,3720,1273
624,3723,1271
625,3725,1272
626,3728,1274
627,3730,1276
628,3732,1275
629,3736,1277
630,3750,1280
631,3750,1281
632,3765,1286
633,3767,1285
634,3769,1287
635,3780,1289
636,3784,1292
637,3788,1293
638,3789,1291
639,3793,1295
640,3795,1296
641,3807,1298
642,3810,1299
643,3817,1300
644,3820,1302
645,3823,1303
646,3823,1304
647,3825,1310
648,3826,1306
649,3831,1309
650,3835,1312
651,3842,1314
652,3847,1316
653,3850,1317
654,3851,1320
655,3862,1322
656,3865,1323
657,3876,1327
658,3877,1325
659,3879,1326
660,3893,1330
661,3904,1333
662,3917,1337
663,3920,1339
664,3926,1341
665,3929,1342
666,3952,1347
667,3952,1348
668,3955,1352
669,3956,1351
670,3969,1354
671,3973,1357
672,3974,1355
673,3980,1359
674,3990,1360
675,3997,1363
676,4011,1369
677,4018,1372
678,4022,1371
679,4031,1375
680,4035,1376
681,4046,1380
682,4047,1381
683,4053,1383
684,4056,1384
685,4065,1385
686,4066,1387
687,4077,1389
688,4088,1391
689,4097,1392
690,4097,1394
691,4100,1395
692,4115,1397
693,4128,1402
694,4133,1404
695,4136,1403
696,4141,1407
697,4147,1409
698,4147,1410
699,4151,1413
700,4151,1414
701,4163,1416
702,4166,1417
703,4170,1418
704,4178,1419
705,4187,1421
706,4187,1422
707,4191,1423
708,4194,1424
709,4212,1428
710,4214,1429
711,4221,1430
712,4224,1431
713,4226,1432
714,4230,1435
715,4247,1439
716,4262,1445
717,4262,1446
718,4265,1444
719,4270,1447
720,4273,1449
721,4282,1452
722,4284,1451
723,4296,1455
724,4301,1457
725,4303,1460
726,4304,1458
727,4309,1461
728,4312,1463
729,4313,1464
730,4320,1466
731,4324,1467
732,4326,1470
733,4332,1472
734,4339,1473
735,4347,1476
736,4352,1477
737,4356,1480
738,4358,1479
739,4367,1483
740,4373,1484
741,4375,1486
742,4387,1488
743,4392,1491
744,4395,1492
745,4404,1496
746,4409,1499
747,4411,1497
748,4413,1501
749,4419,1503
750,4422,1505
751,4423,1504
752,4427,1507
